datetime_utc,crypto,known,unknown
2023-02-22 01:39:13.014328,BTC,"$20,000,000","$100,000,000"
2023-02-22 01:39:13.014328,ETH,"$20,000,000","$100,000,000"
2023-02-22 01:39:13.014328,Stable Coin (Transfer),"$50,000,000","$200,000,000"
2023-02-22 01:39:13.014328,Stable Coin (Mint/Burn),"$50,000,000",-
2023-02-22 01:39:13.014328,SOL,"$10,000,000","$50,000,000"
2023-02-22 01:39:13.014328,XRP,"$10,000,000","$50,000,000"
2023-02-22 01:39:13.014328,EOS,"$5,000,000","$10,000,000"
2023-02-22 01:39:13.014328,XLM,"$5,000,000","$10,000,000"
2023-02-22 01:39:13.014328,ERC20,"$5,000,000","$20,00,000"
2023-02-22 01:39:13.014328,NEO,"$1,000,000","$5,000,000"
2023-02-22 01:39:13.014328,TRX,"$5,000,000","$20,000,000"
2023-02-22 01:39:13.014328,XTZ,"$2,500,000","$10,000,000"
2023-02-22 01:39:13.014328,ICX,"$1,000,000","$5,000,000"
2023-02-22 01:39:13.014328,Scams,"$25,000",-
2023-02-22 01:39:13.014328,Donations,"$1,000,000",-
