datetime_utc,crypto,known,unknown
2023-02-22 18:58:49.906865,BTC,"$20,000,000","$100,000,000"
2023-02-22 18:58:49.906865,ETH,"$20,000,000","$100,000,000"
2023-02-22 18:58:49.906865,Stable Coin (Transfer),"$50,000,000","$200,000,000"
2023-02-22 18:58:49.906865,Stable Coin (Mint/Burn),"$50,000,000",-
2023-02-22 18:58:49.906865,SOL,"$10,000,000","$50,000,000"
2023-02-22 18:58:49.906865,XRP,"$10,000,000","$50,000,000"
2023-02-22 18:58:49.906865,EOS,"$5,000,000","$10,000,000"
2023-02-22 18:58:49.906865,XLM,"$5,000,000","$10,000,000"
2023-02-22 18:58:49.906865,ERC20,"$5,000,000","$20,00,000"
2023-02-22 18:58:49.906865,NEO,"$1,000,000","$5,000,000"
2023-02-22 18:58:49.906865,TRX,"$5,000,000","$20,000,000"
2023-02-22 18:58:49.906865,XTZ,"$2,500,000","$10,000,000"
2023-02-22 18:58:49.906865,ICX,"$1,000,000","$5,000,000"
2023-02-22 18:58:49.906865,Scams,"$25,000",-
2023-02-22 18:58:49.906865,Donations,"$1,000,000",-
