datetime_utc,crypto,known,unknown
2023-02-16 18:30:04.647983,BTC,"$20,000,000","$100,000,000"
2023-02-16 18:30:04.647983,ETH,"$20,000,000","$100,000,000"
2023-02-16 18:30:04.647983,Stable Coin (Transfer),"$50,000,000","$200,000,000"
2023-02-16 18:30:04.647983,Stable Coin (Mint/Burn),"$50,000,000",-
2023-02-16 18:30:04.647983,SOL,"$10,000,000","$50,000,000"
2023-02-16 18:30:04.647983,XRP,"$10,000,000","$50,000,000"
2023-02-16 18:30:04.647983,EOS,"$5,000,000","$10,000,000"
2023-02-16 18:30:04.647983,XLM,"$5,000,000","$10,000,000"
2023-02-16 18:30:04.647983,ERC20,"$5,000,000","$20,00,000"
2023-02-16 18:30:04.647983,NEO,"$1,000,000","$5,000,000"
2023-02-16 18:30:04.647983,TRX,"$5,000,000","$20,000,000"
2023-02-16 18:30:04.647983,XTZ,"$2,500,000","$10,000,000"
2023-02-16 18:30:04.647983,ICX,"$1,000,000","$5,000,000"
2023-02-16 18:30:04.647983,Scams,"$25,000",-
2023-02-16 18:30:04.647983,Donations,"$1,000,000",-
